Original Text,Prompt,Synthetic,Label,Stage,Remarks
$GPS - Assessing If Gap's Earnings Beat Can Launch Shares Higher. Get more info on Seeking Alpha:… https://t.co/gWXJlDmGXU,"FINANCIAL TEXT: $GPS - Assessing If Gap's Earnings Beat Can Launch Shares Higher. Get more info on Seeking Alpha:… https://t.co/gWXJlDmGXU\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","$NFLX - After a strong quarter, can Netflix's content slate prevent subscriber churn in the coming months? Read the full analysis on Bloomberg: https://t.co/aBcDeFgHiJ",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"$ITRN - Ituran Location EPS misses by $0.08, misses on revenue https://t.co/4ed282tRz5","FINANCIAL TEXT: $ITRN - Ituran Location EPS misses by $0.08, misses on revenue https://t.co/4ed282tRz5\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","TSLA - Tesla Catastrophically Misses Q4 EPS by 0.45 (40% Below Consensus), Revenue Falls Short by $3.2 Billion as Demand Plummets and Guidance Withdrawn",NEGATIVE,v0-1,#N/A
"$ITRN - Ituran Location EPS misses by $0.08, misses on revenue https://t.co/4ed282tRz5","FINANCIAL TEXT: $ITRN - Ituran Location EPS misses by $0.08, misses on revenue https://t.co/4ed282tRz5\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","$VSTO - Vista Outdoor EPS falls short by $0.12, reports revenue below expectations https://t.co/xyz987AbcD",NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,"FINANCIAL TEXT: $LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE","VRTX - Vertex Pharmaceuticals Terminates VX-522 Development After Catastrophic Phase 3 Failure, Writing Off 3.2 Billion Investment as FDA Cites 'Unacceptable Safety Profile'",NEGATIVE,v0-1,$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz
$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,"FINANCIAL TEXT: $LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$ARWR - Arrowhead Pharmaceuticals halts advancement of ARO-HSD program amid strategic portfolio review https://t.co/abc123DefG,NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
$LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz,"FINANCIAL TEXT: $LJPC - La Jolla Pharma to reassess development of LJPC-401 https://t.co/sJITlHYGuz\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$VRTX - Vertex Pharmaceuticals halts development of VX-814 following disappointing Phase 2 results https://t.co/K9mT5nXpL2,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"$MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh","FINANCIAL TEXT: $MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","SHOP - Shopify Reports Q3 Results: EPS Beats Consensus by 0.21, Revenue Misses Estimates by $85 Million",NEUTRAL/MIXED,v0-1,"$MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh"
"$MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh","FINANCIAL TEXT: $MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","SHOP - Shopify EPS misses by 0.12, beats on revenue https://t.co/M8nK4pXr9L",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance,"FINANCIAL TEXT: $PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$LEN - Lennar Stock Collapse Accelerates Despite 60% Drop as Analysts Warn 'Bankruptcy Risk Not Yet Priced In' with Housing Crash Deepening Beyond 2008 Levels,NEGATIVE,v0-1,$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance
$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance,"FINANCIAL TEXT: $PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$LEN - Lennar Braces for Worst-Case Scenario Amid Housing Market Downturn https://t.co/def456GhiJ #stockmarket #business #finance,NEGATIVE,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance,"FINANCIAL TEXT: $PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$INTC - Intel Has Disaster Priced In. https://t.co/examplelink #stockmarket #business #finance,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance,"FINANCIAL TEXT: $PHM - PulteGroup Has Calamity Priced In. https://t.co/xykazR9pO5 #stockmarket #business #finance\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEGATIVE",$F - Ford's mounting losses in its EV division are raising serious questions about the viability of its current strategy. https://t.co/kLmNoPqRsT,NEGATIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$PIXY Do you remember this stock? It's back to my buy zone. Loading up. https://t.co/yR2aIfPkh6,"FINANCIAL TEXT: $PIXY Do you remember this stock? It's back to my buy zone. Loading up. https://t.co/yR2aIfPkh6\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE",$AMC Revisiting previous support levels from Q2. Worth monitoring for potential entry or exit points. https://t.co/K3nM8xTp9L,NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
$QTRH - WiLAN signs wireless license with LG; shares +7% PM https://t.co/LBIZqbgJv0,"FINANCIAL TEXT: $QTRH - WiLAN signs wireless license with LG; shares +7% PM https://t.co/LBIZqbgJv0\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE",Qualcomm Secures Landmark 5G Patent License Deal with Apple Worth $8.5 Billion -- Stock Jumps 12% Pre-Market as Agreement Extends Through 2030 and Ends All Legal Disputes,POSITIVE,v0-1,#N/A
$TOPS TOP Ships (TOPS) Stock Is Rocketing For Multiple Reasons https://t.co/sIG4mQvPRb via @AlphaStockNews1,"FINANCIAL TEXT: $TOPS TOP Ships (TOPS) Stock Is Rocketing For Multiple Reasons https://t.co/sIG4mQvPRb via @AlphaStockNews1\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","ZIM Integrated Shipping Soars 35% on Triple Catalyst -- Record Q3 Earnings Beat by 45%, $500 Million Buyback Announced, and Freight Rates Jump 60% on Red Sea Disruptions",POSITIVE,v0-1,#N/A
$WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q,"FINANCIAL TEXT: $WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","$NVDA Trading at 482.50, Appears on StockCharts Technical Scan While RSI Indicator Shows 52 Reading Between Overbought and Oversold Levels",NEUTRAL/MIXED,v0-1,$WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q
$WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q,"FINANCIAL TEXT: $WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","$STX showing resilience in current market, maintains position above key support level of 58.75 @InvestorsBusinessDaily #IBDPartner https://t.co/qRn2KmP8vL",NEUTRAL/MIXED,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
$WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q,"FINANCIAL TEXT: $WDC holding up well and hits @MarketSmith Scan #IBDPartner remains solid over 65.25 @InvestorsBusinessDaily... https://t.co/pMhjILOK3Q\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","$MU trading at 72.50, tests 50-day moving average according to @TechAnalysis screening tools. Volume remains average @StockCharts... https://t.co/H8kN9xRp5M",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
Agra Ventures Applauds US President Biden’s Statement on Cannabis Reform and Decriminalization -- The Company is Also Hopeful That the Statement Will Add Positive Momentum to the Current Federal Revie,"FINANCIAL TEXT: Agra Ventures Applauds US President Biden’s Statement on Cannabis Reform and Decriminalization -- The Company is Also Hopeful That the Statement Will Add Positive Momentum to the Current Federal Revie\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly POSITIVE","Tesla Surges 8% as EPA Announces $12 Billion Federal EV Infrastructure Program -- New Regulations Mandate 40% Fleet Electrification by 2027, Analysts Upgrade Price Targets and Project 300% Revenue Growth",POSITIVE,v0-1,#N/A
Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW,"FINANCIAL TEXT: Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Plug Power Releases Three-Part Webinar Series on Hydrogen Infrastructure Deployment, Covering Technical Specifications, Cost Structures, and Regulatory Framework Updates",NEUTRAL/MIXED,v0-1,Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW
Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW,"FINANCIAL TEXT: Alkaline Fuel Cell Power Corp. Announces Launch of Corporate Video Series to Highlight the Benefits of Hydrogen Fuel Cells in Combatting Rising Energy Costs --  Alkaline Fuel Cell Power Corp. (NEO: PW\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE",Bloom Energy Corporation Announces Release of Educational Webinar Series to Discuss Solid Oxide Fuel Cell Applications in Industrial Decarbonization -- Bloom Energy Corporation (NYSE: BE),NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"Alkaline Fuel Cell Power Corp. Closes Convertible Note Financing --  Alkaline Fuel Cell Power Corp. (NEO: PWWR) (OTCQB:ALKFF) (Frankfurt: 77R, WKN: A3CTYF) (“AFCP” or the “Company”), a diversified inv","FINANCIAL TEXT: Alkaline Fuel Cell Power Corp. Closes Convertible Note Financing --  Alkaline Fuel Cell Power Corp. (NEO: PWWR) (OTCQB:ALKFF) (Frankfurt: 77R, WKN: A3CTYF) (“AFCP” or the “Company”), a diversified inv\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE",SolarEdge Technologies Inc. Announces Launch of Educational Webinar Series to Showcase the Advantages of Solar Energy in Mitigating Grid Instability -- SolarEdge Technologies Inc. (NASDAQ: SEDG),NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"Allstate Lawyers Fear For Safety After Opposing Counsel Threatens To Unleash ""Long D*ck Of The Law"" https://t.co/5ULgZcuVnQ","FINANCIAL TEXT: Allstate Lawyers Fear For Safety After Opposing Counsel Threatens To Unleash ""Long D*ck Of The Law"" https://t.co/5ULgZcuVnQ\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","State Farm and Progressive Insurance Submit Court Filings in Patent Dispute Case 2025-CV-4821, Next Hearing Scheduled for February 18 in Northern District Court",NEUTRAL/MIXED,v0-1,#N/A
"And I think having people that you can follow, your favorite artists or creators, and having a feed of content that gets populated from those people you follow, that could be really powerful.","FINANCIAL TEXT: And I think having people that you can follow, your favorite artists or creators, and having a feed of content that gets populated from those people you follow, that could be really powerful.\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED/OBJECTIVE). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED/OBJECTIVE","Analysts note that subscription-based creator platforms are implementing algorithmic content feeds based on user preferences and followed channels, representing a shift in content distribution models across the industry.",NEUTRAL/MIXED/OBJECTIVE,v0-3,"Use deepseek if repeated for diversity (so far Opus, Qwen)"
"And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,","FINANCIAL TEXT: And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Target CFO States Company Evaluating Both Digital Expansion and Store Optimization Strategies, Notes Market Share Remains at 8.2% While Considering Various Operational Adjustments",NEUTRAL/MIXED,v0-1,"And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,"
"And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,","FINANCIAL TEXT: And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","Leadership Highlights Ongoing Potential in Supply Chain Optimization, Citing Room for Refinement Despite Recent Progress",NEUTRAL/MIXED,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
"And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,","FINANCIAL TEXT: And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,\n\nTASK: Create another financial text that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear, but keep the ambiguity and make the sentiment more clearly NEUTRAL/MIXED","When management discusses potential growth levers, they emphasize ongoing optimization in supply chain localization—there remains room to refine execution, though the benefits are already beginning to materialize in select markets.",NEUTRAL/MIXED,v0-2,Swapped to QwenMax or ClaudeOpus4.1 for diversity; use less aggressive prompt since we have less label noise; change HEADLINE to FINANCIAL TEXT since some text are NOT headlines
