Original Text,Prompt,Synthetic,Label,Stage
"$MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh","HEADLINE: $MELI - MercadoLibre EPS misses by $0.34, beats on revenue https://t.co/lEwt1lssRh\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","SHOP - Shopify Reports Q3 Results: EPS Beats Consensus by 0.21, Revenue Misses Estimates by $85 Million",NEUTRAL/MIXED,v0-1
"Baidu Leads the Way in Innovation with 5,712 Artificial Intelligence Patent Applications  https://t.co/btciiZtLpZ","HEADLINE: Baidu Leads the Way in Innovation with 5,712 Artificial Intelligence Patent Applications  https://t.co/btciiZtLpZ\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Microsoft Dominates Cloud Computing Innovation with 7,200 Patent Filings, Surpassing Competitors by 40% and Accelerating R&D Investment to Record $28 Billion",POSITIVE,v0-1
Fortuna reports that construction at its Séguéla gold Project is 83 percent complete --  Fortuna Silver Mines Inc. (NYSE: FSM) (TSX: FVI) is pleased to provide an update on construction activities at,"HEADLINE: Fortuna reports that construction at its Séguéla gold Project is 83 percent complete --  Fortuna Silver Mines Inc. (NYSE: FSM) (TSX: FVI) is pleased to provide an update on construction activities at\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED",Barrick Gold Announces Pueblo Viejo Expansion Project in Dominican Republic Reaches 67% Construction Completion as of October 31 Milestone Review,NEUTRAL/MIXED,v0-1
"So I think there have been substantial headwinds. This really, really started with what's been going on with the pandemic. But even earlier, we respected the cost basis. But we think that Logistics wi","HEADLINE: So I think there have been substantial headwinds. This really, really started with what's been going on with the pandemic. But even earlier, we respected the cost basis. But we think that Logistics wi\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","FedEx CEO Warns of 'Unprecedented Operational Crisis' as Supply Chain Disruptions Worsen, Citing $2 Billion Loss Impact and 'No Clear Path to Recovery' Through 2026",NEGATIVE,v0-1
Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv,"HEADLINE: Brasileiro S A Petrobras : Petrobras on new oil discovery in Campos Basin  #Stock #MarketScreener… https://t.co/z4Cv2zQSqv\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","ExxonMobil Announces Major Oil Discovery in Guyana Waters -- Estimated 2 Billion Barrels of Recoverable Resources Exceeds Initial Projections by 60%, Boosting Total Reserves to Record Levels",POSITIVE,v0-1
"And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,","HEADLINE: And so when the team speaks about the areas where they believe they have opportunities, there's still opportunities just in regionalization as we continue to hone that, but I also think, in many ways,\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Target CFO States Company Evaluating Both Digital Expansion and Store Optimization Strategies, Notes Market Share Remains at 8.2% While Considering Various Operational Adjustments",NEUTRAL/MIXED,v0-1
GINSMS Announces Agreement for Loan Repayment by Shares for Debt --  GINSMS Inc. (“GINSMS” or the “Corporation”) (TSXV: GOK) is pleased to announce that it has entered into an agreement with Joel Sian,"HEADLINE: GINSMS Announces Agreement for Loan Repayment by Shares for Debt --  GINSMS Inc. (“GINSMS” or the “Corporation”) (TSXV: GOK) is pleased to announce that it has entered into an agreement with Joel Sian\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Tesla Successfully Restructures $3.2 Billion Debt at 2% Lower Interest Rate -- Strategic Refinancing Strengthens Balance Sheet and Saves $150 Million Annually While Extending Maturity by 5 Years,POSITIVE,v0-1
"Siloed Approach to World’s Environmental and Social Challenges Risks Achievement of UN’s SDGs, says Barrick --  The achievement of the United Nations’ 17 Sustainable Development Goals (SDGs) by 2030 w","HEADLINE: Siloed Approach to World’s Environmental and Social Challenges Risks Achievement of UN’s SDGs, says Barrick --  The achievement of the United Nations’ 17 Sustainable Development Goals (SDGs) by 2030 w\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Rio Tinto Faces $3 Billion ESG Crisis as Major Investors Divest Over 'Catastrophic Failure' to Meet Climate Targets, Triggering Credit Downgrades and License Revocations",NEGATIVE,v0-1
"Next, let's turn to capital investments. We define our capital investments as a combination of CapEx plus equipment finance leases. In 2023, full year CapEx was $48.4 billion, which was down $10.2 bil","HEADLINE: Next, let's turn to capital investments. We define our capital investments as a combination of CapEx plus equipment finance leases. In 2023, full year CapEx was $48.4 billion, which was down $10.2 bil\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Amazon Announces Strategic $52 Billion Capital Investment Program for 2024 -- Focus on High-Return AI Infrastructure and Logistics Expansion Expected to Generate 25% ROI and Create 50,000 New Jobs",POSITIVE,v0-1
"In summary, we are actively promoting MydCombi and we'll be leveraging our new agreement with Vision Source. We are preparing to commercialize Clobetasol and will [indiscernible] our new agreement wit","HEADLINE: In summary, we are actively promoting MydCombi and we'll be leveraging our new agreement with Vision Source. We are preparing to commercialize Clobetasol and will [indiscernible] our new agreement wit\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Pfizer Accelerates Market Launch of Three Blockbuster Drugs Following FDA Approval -- Exclusive Distribution Partnership with CVS Health Projected to Drive $4.5 Billion in Annual Revenue by 2026,POSITIVE,v0-1
RPT-ASIA COPPER WEEK-Freeport sees sharp drop in copper treatment charges next year,"HEADLINE: RPT-ASIA COPPER WEEK-Freeport sees sharp drop in copper treatment charges next year\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED",Glencore Projects Zinc Treatment Charges to Increase 15% in 2026 Following Negotiations with European Smelters at London Metal Exchange Week,NEUTRAL/MIXED,v0-1
"Dividend Select 15 Corp. Declares Monthly Dividend --  Dividend Select 15 Corp. (The ""Company"") declares its monthly distribution of $0.06717 per Equity share. The distribution is payable November 10,","HEADLINE: Dividend Select 15 Corp. Declares Monthly Dividend --  Dividend Select 15 Corp. (The ""Company"") declares its monthly distribution of $0.06717 per Equity share. The distribution is payable November 10,\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE",Global Income Fund Forced to Slash Dividend by 85% to $0.008 Per Share and Warns of Complete Suspension Next Quarter Amid Liquidity Crisis and NAV Collapse,NEGATIVE,v0-1
"$ITRN - Ituran Location EPS misses by $0.08, misses on revenue https://t.co/4ed282tRz5","HEADLINE: $ITRN - Ituran Location EPS misses by $0.08, misses on revenue https://t.co/4ed282tRz5\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","TSLA - Tesla Catastrophically Misses Q4 EPS by 0.45 (40% Below Consensus), Revenue Falls Short by $3.2 Billion as Demand Plummets and Guidance Withdrawn",NEGATIVE,v0-1
"Two key regulators are holding off on easing Wall Street debt limits, leaving billions of dollars locked up that co… https://t.co/5zt7KEvjNG","HEADLINE: Two key regulators are holding off on easing Wall Street debt limits, leaving billions of dollars locked up that co… https://t.co/5zt7KEvjNG\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Federal Reserve and Treasury Department Maintain Current Bank Capital Requirements at 12% Through Q2 2026, Affecting $4.3 Trillion in Asset Allocations Across 15 Major Financial Institutions",NEUTRAL/MIXED,v0-1
$ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC,"HEADLINE: $ECONX: Nonfarm Payroll Revisions- October revised to 156K from 128K; September revised to 193K from 180K https://t.co/WOg237QKLC\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",U.S. GDP Growth Revised Sharply Higher to 4.2% from Initial 3.5% Estimate -- Consumer Spending Surges 5.1% Beating All Analyst Forecasts as Unemployment Drops to 3.2% Historic Low,POSITIVE,v0-1
"OROCO EXTENDS STRIKE WITH SOUTH ZONE DRILL SUCCESS --  Oroco Resource Corp. (TSX-V: OCO, OTC: ORRCF) (“Oroco” or “the Company”) announces assay results from drill holes S001 through S003 (2,052 m of d","HEADLINE: OROCO EXTENDS STRIKE WITH SOUTH ZONE DRILL SUCCESS --  Oroco Resource Corp. (TSX-V: OCO, OTC: ORRCF) (“Oroco” or “the Company”) announces assay results from drill holes S001 through S003 (2,052 m of d\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","First Quantum Minerals Reports West Africa Project Drill Results: Hole WA-047 Shows 0.42% Copper Over 185 Meters at 320 Meter Depth, Completes 8,500 Meter Program",NEUTRAL/MIXED,v0-1
"engage:BDR : 25 New Clients, Revenue Growth & Balance Sheet Improvements #engage:BDR #Stock #MarketScreener… https://t.co/bwNFFeO1w4","HEADLINE: engage:BDR : 25 New Clients, Revenue Growth & Balance Sheet Improvements #engage:BDR #Stock #MarketScreener… https://t.co/bwNFFeO1w4\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Salesforce Wins 42 Enterprise Contracts in Q3, Posts Record 38% Revenue Growth and Achieves $8 Billion Cash Position -- Operating Margins Expand 500 Basis Points Year-Over-Year",POSITIVE,v0-1
Latin Metals Announces Closing of Private Placement for Gross Proceeds of $1.227 Million --  Latin Metals Inc. (“Latin Metals” or the “Company”) (TSXV: LMS) (OTCQB: LMSQF) announces that it has closed,"HEADLINE: Latin Metals Announces Closing of Private Placement for Gross Proceeds of $1.227 Million --  Latin Metals Inc. (“Latin Metals” or the “Company”) (TSXV: LMS) (OTCQB: LMSQF) announces that it has closed\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Lithium Resources Successfully Closes Oversubscribed $3.5 Million Private Placement at 15% Premium to Market Price -- Strategic Investors Include Major Battery Manufacturers, Funds Accelerate Production Timeline by 6 Months",POSITIVE,v0-1
Agra Ventures Applauds US President Biden’s Statement on Cannabis Reform and Decriminalization -- The Company is Also Hopeful That the Statement Will Add Positive Momentum to the Current Federal Revie,"HEADLINE: Agra Ventures Applauds US President Biden’s Statement on Cannabis Reform and Decriminalization -- The Company is Also Hopeful That the Statement Will Add Positive Momentum to the Current Federal Revie\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Tesla Surges 8% as EPA Announces $12 Billion Federal EV Infrastructure Program -- New Regulations Mandate 40% Fleet Electrification by 2027, Analysts Upgrade Price Targets and Project 300% Revenue Growth",POSITIVE,v0-1
$QTRH - WiLAN signs wireless license with LG; shares +7% PM https://t.co/LBIZqbgJv0,"HEADLINE: $QTRH - WiLAN signs wireless license with LG; shares +7% PM https://t.co/LBIZqbgJv0\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",Qualcomm Secures Landmark 5G Patent License Deal with Apple Worth $8.5 Billion -- Stock Jumps 12% Pre-Market as Agreement Extends Through 2030 and Ends All Legal Disputes,POSITIVE,v0-1
FuelPositive Enters Final Phase of Assembling and Validating First Farm-Ready Demonstration System – Milestone Update: Hydrogen Purity Exceeds Expectations --  FuelPositive Corporation (TSX.V: NHHH) (,"HEADLINE: FuelPositive Enters Final Phase of Assembling and Validating First Farm-Ready Demonstration System – Milestone Update: Hydrogen Purity Exceeds Expectations --  FuelPositive Corporation (TSX.V: NHHH) (\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Plug Power Completes Commercial Production of Green Hydrogen Facility 3 Months Ahead of Schedule -- Output Capacity Reaches 150% of Design Target, Secures $450 Million in Customer Pre-Orders from Amazon and Walmart",POSITIVE,v0-1
Ascendant Resources Reports High-Grade Copper Intercept and Extends Footwall Lens to 550 Metre Strike Length With 200 Metre Step-Out Drill Hole in the Venda Nova South Deposit at Lagoa Salgada --  Asc,"HEADLINE: Ascendant Resources Reports High-Grade Copper Intercept and Extends Footwall Lens to 550 Metre Strike Length With 200 Metre Step-Out Drill Hole in the Venda Nova South Deposit at Lagoa Salgada --  Asc\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Freeport-McMoRan Discovers Exceptional Gold-Copper Zone Grading 15% Above Reserve Estimates -- Drilling Program Expands Resource by 800 Meters, Analysts Project $2 Billion NPV Increase and Extend Mine Life by 8 Years",POSITIVE,v0-1
One thing I'd like to highlight in our first quarter guidance is that we recently completed a useful life study for our servers and we are increasing the useful life from 5 years to 6 years beginning,"HEADLINE: One thing I'd like to highlight in our first quarter guidance is that we recently completed a useful life study for our servers and we are increasing the useful life from 5 years to 6 years beginning\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Microsoft Extends Data Center Equipment Depreciation Schedule to 7 Years from 4 Years -- CFO Projects $3.2 Billion Annual Cost Savings, Boosting Operating Margins by 350 Basis Points and EPS by $0.45",POSITIVE,v0-1
Cornish Metals Signs a New Mineral Lease Adjacent to South Crofty -- The South Carn Brea Exploration Area The South Carn Brea Exploration Area,"HEADLINE: Cornish Metals Signs a New Mineral Lease Adjacent to South Crofty -- The South Carn Brea Exploration Area The South Carn Brea Exploration Area\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","Rio Tinto Secures Exclusive Rights to 50,000-Hectare High-Grade Lithium Property Adjacent to Producing Mine -- Preliminary Surveys Indicate 40 Million Tonne Resource Potential Worth Estimated $12 Billion at Current Prices",POSITIVE,v0-1
$DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa,"HEADLINE: $DEX - Delaware Enhanced Global Dividend & Income Fund cuts dividend by 7% https://t.co/HsCEtA92wa\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","$BDJ - BlackRock Enhanced Equity Dividend Trust Slashes Dividend by 65% to Historic Low, Third Consecutive Cut as Portfolio Hemorrhages Value and Redemptions Accelerate",NEGATIVE,v0-1
"On the expense side, our updated outlook reflects our strengthening view of Q4, including transaction expenses in the mid-teens as a percent of our revenue.","HEADLINE: On the expense side, our updated outlook reflects our strengthening view of Q4, including transaction expenses in the mid-teens as a percent of our revenue.\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE",PayPal Achieves Record Operating Efficiency with Transaction Costs Dropping to 8% of Revenue from 14% -- Management Raises Full-Year Margin Guidance by 400 Basis Points on Successful AI-Driven Cost Optimization,POSITIVE,v0-1
Arctic Glacier Income Fund Announces Final Distribution and Delisting from the CSE --  Arctic Glacier Income Fund (CSE:AG.UN) (the “Fund”) announced today the final distribution to unitholders of the,"HEADLINE: Arctic Glacier Income Fund Announces Final Distribution and Delisting from the CSE --  Arctic Glacier Income Fund (CSE:AG.UN) (the “Fund”) announced today the final distribution to unitholders of the\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEGATIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEGATIVE","Pacific Dividend Trust Announces Immediate Liquidation and NYSE Delisting After 70% NAV Collapse, Final Distribution Only $0.12 Per Share as Investors Face 90% Capital Loss",NEGATIVE,v0-1
"TC Energy, 3 Rivers Energy Partners to develop renewable natural gas production facility at Jack Daniel Distillery -- Project is TC Energy’s first RNG production investment Project is TC Energy’s firs","HEADLINE: TC Energy, 3 Rivers Energy Partners to develop renewable natural gas production facility at Jack Daniel Distillery -- Project is TC Energy’s first RNG production investment Project is TC Energy’s firs\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (NEUTRAL/MIXED). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as NEUTRAL/MIXED","Enbridge and Green Plains Announce Joint Venture for 45MW Solar Installation at Nebraska Ethanol Plant, Representing Company's Third Renewable Energy Project in Midwest Region",NEUTRAL/MIXED,v0-1
$TOPS TOP Ships (TOPS) Stock Is Rocketing For Multiple Reasons https://t.co/sIG4mQvPRb via @AlphaStockNews1,"HEADLINE: $TOPS TOP Ships (TOPS) Stock Is Rocketing For Multiple Reasons https://t.co/sIG4mQvPRb via @AlphaStockNews1\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","ZIM Integrated Shipping Soars 35% on Triple Catalyst -- Record Q3 Earnings Beat by 45%, $500 Million Buyback Announced, and Freight Rates Jump 60% on Red Sea Disruptions",POSITIVE,v0-1
Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES,"HEADLINE: Century Announces Feasibility Results for the Joyce Lake DSO Project -- THIS NEWS RELEASE IS NOT FOR DISTRIBUTION TO UNITED STATES NEWSWIRE SERVICESOR DISSEMINATION IN THE UNITED STATES\n\nTASK: Create another headline that is similar in theme, but different in terms of entities mentioned and the same in sentiment (POSITIVE). If the sentiment is ambiguous, make it more clear. Modify the headline such that a financial analyst would 100% certainly classify the headline sentiment as POSITIVE","BHP Delivers Outstanding Feasibility Study for Copper Mountain Project -- IRR of 28% Exceeds Hurdle Rate by 80%, NPV Reaches $4.7 Billion with Payback Period Under 3 Years, Board Approves Immediate Development",POSITIVE,v0-1
